dice,iou,hd95,precision,recall,f1,image_id,class,n_masks
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (3064),Normal,44
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (581),Normal,51
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (1028),Normal,81
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (3906),Normal,79
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (4914),Normal,75
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (260),Normal,50
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (2803),Normal,65
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (2784),Normal,64
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (3191),Normal,56
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (3818),Normal,70
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (4336),Normal,85
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (4953),Normal,49
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (1446),Normal,50
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (3601),Normal,35
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (60),Normal,64
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (4780),Normal,62
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (978),Normal,40
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (3686),Normal,74
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (638),Normal,78
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (1833),Normal,43
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (2189),Normal,50
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (4253),Normal,60
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (2920),Normal,81
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (1657),Normal,68
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (1753),Normal,49
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (2677),Normal,56
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (4946),Normal,52
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (3604),Normal,39
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (1562),Normal,54
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (4783),Normal,68
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (2956),Normal,86
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (1483),Normal,53
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (4042),Normal,77
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (3644),Normal,45
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (4905),Normal,66
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (2852),Normal,70
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (4293),Normal,89
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (3838),Normal,56
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (4916),Normal,37
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (3266),Normal,60
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (1019),Normal,89
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (943),Normal,58
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (5062),Normal,64
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (173),Normal,72
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (229),Normal,40
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (145),Normal,92
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (2648),Normal,53
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (4347),Normal,55
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (3689),Normal,70
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (1417),Normal,66
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (2950),Normal,77
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (3960),Normal,60
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (4532),Normal,56
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (2570),Normal,48
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (2457),Normal,44
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (1790),Normal,44
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (3442),Normal,56
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (3409),Normal,64
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (1094),Normal,47
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (5063),Normal,80
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (2162),Normal,50
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (4678),Normal,70
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (3340),Normal,73
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (30),Normal,69
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (4892),Normal,71
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (3417),Normal,64
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (2484),Normal,59
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (814),Normal,76
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (1659),Normal,71
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (2301),Normal,67
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (1950),Normal,39
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (3070),Normal,43
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (1639),Normal,76
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (3486),Normal,68
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (1213),Normal,88
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (1057),Normal,79
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (1698),Normal,71
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (1368),Normal,46
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (1476),Normal,55
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (2929),Normal,85
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (1529),Normal,74
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (2717),Normal,82
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (3816),Normal,79
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (4269),Normal,58
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (4374),Normal,59
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (3479),Normal,87
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (4891),Normal,78
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (291),Normal,55
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (2558),Normal,69
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (4711),Normal,62
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (1503),Normal,65
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (1074),Normal,47
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (593),Normal,62
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (4241),Normal,73
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (3432),Normal,53
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (2927),Normal,90
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (4620),Normal,44
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (4751),Normal,65
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (166),Normal,78
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (2223),Normal,37
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (3341),Normal,65
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (1436),Normal,51
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (2351),Normal,39
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (4858),Normal,67
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (497),Normal,77
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (5001),Normal,72
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (2947),Normal,77
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (4703),Normal,57
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (2292),Normal,75
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (116),Normal,72
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (2013),Normal,47
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (107),Normal,71
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (3320),Normal,75
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (211),Normal,68
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (4383),Normal,65
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (4015),Normal,89
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (3915),Normal,86
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (3645),Normal,48
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (1178),Normal,40
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (599),Normal,54
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (125),Normal,79
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (1815),Normal,61
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (3788),Normal,71
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (2913),Normal,75
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (1382),Normal,71
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (3527),Normal,77
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (2630),Normal,54
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (3556),Normal,47
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (3629),Normal,44
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (3889),Normal,83
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (114),Normal,66
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (3006),Normal,49
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (3935),Normal,79
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (272),Normal,52
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (4732),Normal,63
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (1203),Normal,86
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (4633),Normal,48
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (1832),Normal,43
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (2214),Normal,56
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (2455),Normal,42
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (1024),Normal,90
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (3741),Normal,55
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (1949),Normal,36
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (4412),Normal,63
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (142),Normal,86
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (3573),Normal,36
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (1601),Normal,69
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (2432),Normal,50
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (3739),Normal,69
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (4698),Normal,66
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (2998),Normal,42
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (4492),Normal,68
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (3885),Normal,93
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (1134),Normal,66
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (1589),Normal,89
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (890),Normal,60
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (3209),Normal,62
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (1214),Normal,82
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (1560),Normal,53
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (3758),Normal,43
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (4688),Normal,72
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (1299),Normal,45
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (2398),Normal,67
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (5012),Normal,62
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (3926),Normal,78
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (115),Normal,75
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (2681),Normal,54
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (4908),Normal,69
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (553),Normal,64
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (1538),Normal,63
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (1265),Normal,80
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (3058),Normal,51
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (3814),Normal,78
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (2871),Normal,85
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (3416),Normal,72
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (5029),Normal,87
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (4018),Normal,90
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (2054),Normal,80
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (2076),Normal,81
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (2204),Normal,53
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (1728),Normal,71
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (2466),Normal,39
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (4810),Normal,71
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (3536),Normal,40
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (2531),Normal,71
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (1497),Normal,62
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (4490),Normal,67
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (2686),Normal,55
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (2276),Normal,76
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (2128),Normal,43
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (1686),Normal,72
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (2232),Normal,41
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (1648),Normal,77
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (2235),Normal,40
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (1611),Normal,72
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (3004),Normal,49
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (4890),Normal,71
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (3428),Normal,65
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (3192),Normal,63
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (3572),Normal,41
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (4998),Normal,68
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (2243),Normal,46
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (2431),Normal,51
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (3047),Normal,50
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (1202),Normal,74
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (4393),Normal,71
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (1489),Normal,53
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (2307),Normal,82
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (4350),Normal,63
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (501),Normal,74
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (2710),Normal,78
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (4257),Normal,64
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (3434),Normal,61
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (1687),Normal,70
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (4343),Normal,72
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (848),Normal,66
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (1221),Normal,87
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (3497),Normal,71
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (5059),Normal,75
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (1729),Normal,68
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (4281),Normal,54
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (3075),Normal,39
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (4498),Normal,57
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (1896),Normal,75
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (3493),Normal,59
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (2847),Normal,53
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (2322),Normal,70
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (4027),Normal,88
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (2309),Normal,86
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (3392),Normal,65
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (2003),Normal,34
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (1943),Normal,45
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (4776),Normal,56
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (3957),Normal,54
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (1608),Normal,71
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (79),Normal,63
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (1070),Normal,78
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (2040),Normal,36
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (4773),Normal,55
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (1719),Normal,71
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (4003),Normal,84
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (4175),Normal,70
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (1499),Normal,69
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (4956),Normal,54
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (2333),Normal,85
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (4572),Normal,55
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (2098),Normal,95
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (3251),Normal,82
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (205),Normal,75
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (3730),Normal,62
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (1078),Normal,35
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (2106),Normal,108
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (3203),Normal,72
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (1005),Normal,90
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (4330),Normal,83
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (3241),Normal,52
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (909),Normal,58
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (547),Normal,76
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (2097),Normal,91
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (3855),Normal,49
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (2500),Normal,82
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (1128),Normal,52
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (4384),Normal,66
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (4067),Normal,87
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (903),Normal,55
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (3303),Normal,36
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (3537),Normal,32
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (707),Normal,82
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (1717),Normal,78
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (2940),Normal,74
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (2304),Normal,77
