Class,N,dice_mean,dice_std,iou_mean,iou_std,hd95_mean,hd95_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std
Normal,1016,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
Tumor,457,0.7289,0.2666,0.6332,0.289,21.0052,37.4661,0.7369,0.3096,0.8697,0.1918,0.7289,0.2666
Stone,276,0.4668,0.3729,0.3862,0.3416,29.562,36.5303,0.5277,0.413,0.7997,0.2693,0.4668,0.3729
MACRO,1749,0.7319,---,0.6731,---,16.8557,---,0.7549,---,0.8898,---,0.7319,---
