Class,N,dice_mean,dice_std,iou_mean,iou_std,hd95_mean,hd95_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std
Normal,1016,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
Tumor,457,0.1899,0.2248,0.1278,0.1873,47.3255,33.8084,0.3772,0.3793,0.2119,0.2438,0.1899,0.2248
Stone,276,0.0542,0.1633,0.0382,0.1248,95.2828,60.6509,0.0814,0.2444,0.251,0.3344,0.0542,0.1633
MACRO,1749,0.4147,---,0.3887,---,47.5361,---,0.4862,---,0.4876,---,0.4147,---
