Class,N,dice_mean,dice_std,iou_mean,iou_std,hd95_mean,hd95_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std
Normal,1016,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
Tumor,457,0.6831,0.3195,0.5981,0.3321,28.517,48.3619,0.6841,0.3578,0.8689,0.2217,0.6831,0.3195
Stone,276,0.2986,0.3666,0.2454,0.3279,32.4078,43.2324,0.3049,0.3913,0.8002,0.2777,0.2986,0.3666
MACRO,1749,0.6606,---,0.6145,---,20.3083,---,0.663,---,0.8897,---,0.6606,---
