dice,iou,hd95,precision,recall,f1,image_id,class,n_masks
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (4269),Normal,23
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (4374),Normal,27
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (3479),Normal,42
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (4891),Normal,33
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (291),Normal,26
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (2558),Normal,40
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (4711),Normal,29
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (1503),Normal,26
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (1074),Normal,23
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (593),Normal,26
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (4241),Normal,26
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (3432),Normal,27
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (2927),Normal,57
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (4620),Normal,13
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (4751),Normal,35
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (166),Normal,34
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (2223),Normal,22
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (3341),Normal,34
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (1436),Normal,25
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (2351),Normal,21
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (4858),Normal,31
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (497),Normal,29
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (5001),Normal,32
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (2947),Normal,51
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (4703),Normal,34
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (2292),Normal,48
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (116),Normal,27
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (2013),Normal,12
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (107),Normal,28
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (3320),Normal,31
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (211),Normal,48
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (4383),Normal,32
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (4015),Normal,37
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (3915),Normal,33
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (3645),Normal,21
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (1178),Normal,23
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (599),Normal,20
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (125),Normal,27
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (1815),Normal,24
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (3788),Normal,25
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (2913),Normal,45
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (1382),Normal,28
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (3527),Normal,37
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (2630),Normal,28
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (3556),Normal,18
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (3629),Normal,22
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (3889),Normal,34
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (114),Normal,25
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (3006),Normal,17
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (3935),Normal,47
