dice,iou,hd95,precision,recall,f1,image_id,class,n_masks
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (3486),Normal,131
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (1213),Normal,100
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (1057),Normal,88
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (1698),Normal,121
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (1368),Normal,120
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (1476),Normal,114
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (2929),Normal,104
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (1529),Normal,126
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (2717),Normal,108
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (3816),Normal,148
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (4269),Normal,114
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (4374),Normal,127
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (3479),Normal,124
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (4891),Normal,110
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (291),Normal,127
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (2558),Normal,113
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (4711),Normal,144
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (1503),Normal,112
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (1074),Normal,137
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (593),Normal,152
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (4241),Normal,122
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (3432),Normal,140
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (2927),Normal,100
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (4620),Normal,127
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (4751),Normal,138
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (166),Normal,103
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (2223),Normal,125
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (3341),Normal,134
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (1436),Normal,94
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (2351),Normal,107
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (4858),Normal,114
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (497),Normal,166
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (5001),Normal,137
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (2947),Normal,91
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (4703),Normal,80
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (2292),Normal,125
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (116),Normal,116
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (2013),Normal,137
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (107),Normal,129
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (3320),Normal,136
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (211),Normal,93
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (4383),Normal,119
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (4015),Normal,111
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (3915),Normal,132
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (3645),Normal,114
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (1178),Normal,131
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (599),Normal,141
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (125),Normal,133
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (1815),Normal,119
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (3788),Normal,134
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (2913),Normal,113
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (1382),Normal,120
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (3527),Normal,98
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (2630),Normal,146
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (3556),Normal,99
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (3629),Normal,108
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (3889),Normal,131
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (114),Normal,126
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (3006),Normal,140
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (3935),Normal,118
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (272),Normal,116
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (4732),Normal,124
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (1203),Normal,106
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (4633),Normal,110
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (1832),Normal,117
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (2214),Normal,125
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (2455),Normal,110
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (1024),Normal,128
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (3741),Normal,138
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (1949),Normal,129
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (4412),Normal,141
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (142),Normal,120
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (3573),Normal,98
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (1601),Normal,117
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (2432),Normal,112
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (3739),Normal,92
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (4698),Normal,79
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (2998),Normal,115
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (4492),Normal,123
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (3885),Normal,126
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (1134),Normal,136
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (1589),Normal,119
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (890),Normal,122
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (3209),Normal,138
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (1214),Normal,102
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (1560),Normal,135
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (3758),Normal,134
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (4688),Normal,94
