dice,iou,hd95,precision,recall,f1,class,stem
1.0,1.0,0.0,1.0,1.0,1.0,Normal,Normal- (4891)
1.0,1.0,0.0,1.0,1.0,1.0,Normal,Normal- (291)
1.0,1.0,0.0,1.0,1.0,1.0,Normal,Normal- (2558)
1.0,1.0,0.0,1.0,1.0,1.0,Normal,Normal- (4711)
1.0,1.0,0.0,1.0,1.0,1.0,Normal,Normal- (1503)
1.0,1.0,0.0,1.0,1.0,1.0,Normal,Normal- (1074)
1.0,1.0,0.0,1.0,1.0,1.0,Normal,Normal- (593)
1.0,1.0,0.0,1.0,1.0,1.0,Normal,Normal- (4241)
1.0,1.0,0.0,1.0,1.0,1.0,Normal,Normal- (3432)
1.0,1.0,0.0,1.0,1.0,1.0,Normal,Normal- (2927)
1.0,1.0,0.0,1.0,1.0,1.0,Normal,Normal- (4620)
1.0,1.0,0.0,1.0,1.0,1.0,Normal,Normal- (4751)
1.0,1.0,0.0,1.0,1.0,1.0,Normal,Normal- (166)
1.0,1.0,0.0,1.0,1.0,1.0,Normal,Normal- (2223)
1.0,1.0,0.0,1.0,1.0,1.0,Normal,Normal- (3341)
1.0,1.0,0.0,1.0,1.0,1.0,Normal,Normal- (1436)
1.0,1.0,0.0,1.0,1.0,1.0,Normal,Normal- (2351)
1.0,1.0,0.0,1.0,1.0,1.0,Normal,Normal- (4858)
1.0,1.0,0.0,1.0,1.0,1.0,Normal,Normal- (497)
1.0,1.0,0.0,1.0,1.0,1.0,Normal,Normal- (5001)
1.0,1.0,0.0,1.0,1.0,1.0,Normal,Normal- (2947)
1.0,1.0,0.0,1.0,1.0,1.0,Normal,Normal- (4703)
1.0,1.0,0.0,1.0,1.0,1.0,Normal,Normal- (2292)
1.0,1.0,0.0,1.0,1.0,1.0,Normal,Normal- (116)
1.0,1.0,0.0,1.0,1.0,1.0,Normal,Normal- (2013)
1.0,1.0,0.0,1.0,1.0,1.0,Normal,Normal- (107)
1.0,1.0,0.0,1.0,1.0,1.0,Normal,Normal- (3320)
1.0,1.0,0.0,1.0,1.0,1.0,Normal,Normal- (211)
1.0,1.0,0.0,1.0,1.0,1.0,Normal,Normal- (4383)
1.0,1.0,0.0,1.0,1.0,1.0,Normal,Normal- (4015)
1.0,1.0,0.0,1.0,1.0,1.0,Normal,Normal- (3915)
1.0,1.0,0.0,1.0,1.0,1.0,Normal,Normal- (3645)
1.0,1.0,0.0,1.0,1.0,1.0,Normal,Normal- (1178)
1.0,1.0,0.0,1.0,1.0,1.0,Normal,Normal- (599)
1.0,1.0,0.0,1.0,1.0,1.0,Normal,Normal- (125)
1.0,1.0,0.0,1.0,1.0,1.0,Normal,Normal- (1815)
1.0,1.0,0.0,1.0,1.0,1.0,Normal,Normal- (3788)
1.0,1.0,0.0,1.0,1.0,1.0,Normal,Normal- (2913)
1.0,1.0,0.0,1.0,1.0,1.0,Normal,Normal- (1382)
1.0,1.0,0.0,1.0,1.0,1.0,Normal,Normal- (3527)
1.0,1.0,0.0,1.0,1.0,1.0,Normal,Normal- (2630)
1.0,1.0,0.0,1.0,1.0,1.0,Normal,Normal- (3556)
1.0,1.0,0.0,1.0,1.0,1.0,Normal,Normal- (3629)
1.0,1.0,0.0,1.0,1.0,1.0,Normal,Normal- (3889)
1.0,1.0,0.0,1.0,1.0,1.0,Normal,Normal- (114)
1.0,1.0,0.0,1.0,1.0,1.0,Normal,Normal- (3006)
1.0,1.0,0.0,1.0,1.0,1.0,Normal,Normal- (3935)
1.0,1.0,0.0,1.0,1.0,1.0,Normal,Normal- (272)
1.0,1.0,0.0,1.0,1.0,1.0,Normal,Normal- (4732)
1.0,1.0,0.0,1.0,1.0,1.0,Normal,Normal- (1203)
1.0,1.0,0.0,1.0,1.0,1.0,Normal,Normal- (4633)
1.0,1.0,0.0,1.0,1.0,1.0,Normal,Normal- (1832)
1.0,1.0,0.0,1.0,1.0,1.0,Normal,Normal- (2214)
