epoch,lr,time,train_total,train_seg,train_aux,train_cls,train_bbox,train_seg_focal,train_seg_tversky,train_seg_chamfer,train_seg_smooth,train_seg_total,val_macro,val_dice_Normal,val_thresh_Normal,val_dice_Tumor,val_thresh_Tumor,val_dice_Stone,val_thresh_Stone
1,2.9999999999999997e-05,245.17657089233398,19.430722899461916,5.663065816563462,8.658879512267587,0.7562059456609307,0.011524141837442927,0.3961258013367029,5.242577375385774,0.047337880840827344,0.0069369655882656886,5.663065816563462,0.018021444210715082,0.0,0.3,0.05284697703923644,0.5,0.0012173555929088085,0.5
2,5.9999999999999995e-05,299.0807502269745,12.750771311409187,2.322943544512644,6.659205964098426,0.4206319381897362,0.009099835076147486,0.036541618417934164,2.2777389540722233,0.01712603157682403,0.0009995191903155254,2.322943544512644,,,,,,,
3,8.999999999999999e-05,272.37540102005005,7.775539062566158,1.1225819064216465,4.166571613225638,0.386777807095366,0.008052632397928163,0.03062085788642149,1.0839137775891738,0.015935753598164386,0.0007939555811990145,1.1225819064216465,,,,,,,
4,0.00011999999999999999,261.3636245727539,5.633379489963591,0.8227781854686936,2.9263729855652256,0.40385624484515004,0.008539170699671925,0.03047692169959039,0.7849853372698679,0.014488474664528834,0.0007169026131404189,0.8227781854686936,,,,,,,
5,0.00015,254.20197868347168,4.587261121310489,0.6924723945753113,2.333886600289669,0.3771781459918821,0.008320269535395624,0.02809688155921036,0.657274340089235,0.014057518868248164,0.000724129249514047,0.6924723945753113,0.801753063319989,1.0,0.3,0.7804709371102062,0.5,0.6247882528497609,0.5
6,0.00017999999999999998,255.48129606246948,3.741444564068505,0.5897089516578232,1.8518390537127463,0.35704190184542645,0.00837389686076624,0.023364312531304953,0.5598915165280485,0.012772006656656393,0.0006711820174965606,0.5897089516578232,,,,,,,
7,0.00020999999999999998,249.302001953125,3.5155087823721125,0.5583200248601939,1.7234136875309245,0.3544619696809671,0.008713896905623025,0.024244497681624153,0.5275734196080587,0.012871191522541714,0.0006651163132490526,0.5583200248601939,,,,,,,
8,0.00023999999999999998,247.4001739025116,3.1182442790394678,0.5177132605687174,1.5009738607088308,0.3313843667682709,0.008737899450809543,0.022398436661743855,0.4893154389327343,0.011870994516471596,0.0006388675672173102,0.5177132605687174,,,,,,,
9,0.00027,245.23835158348083,2.7865590632585957,0.48561841561532143,1.3119209179976536,0.3162055401014486,0.008334073060709027,0.02114260789520151,0.4588795293181042,0.011071482950916601,0.0006053798479972473,0.48561841561532143,,,,,,,
10,0.0003,246.1269063949585,2.5810465050851485,0.4371995601354469,1.2155014085168925,0.30417656394804177,0.008096405158077821,0.01804496444053509,0.41354130876508993,0.01110442322582867,0.0006107535118549356,0.4371995601354469,0.8501024685150472,1.0,0.3,0.790754715340622,0.5,0.7595526902045198,0.5
