epoch,lr,time,train_total,train_seg,train_cls,train_bbox,train_seg_focal,train_seg_dice,train_seg_chamfer,train_seg_smooth,train_seg_total,val_dice_Normal,val_dice_all,val_dice_Tumor,val_dice_Stone
1,0.0001,235.02673506736755,7.290406660883838,6.614368865315202,0.6537611585949104,0.010968820541165769,0.2740824594703644,6.317643947626284,0.04489673045585761,0.0019410350689108614,6.614368865315202,0.0,0.013559566505286577,0.05107322978920824,0.0012235584811381725
2,0.0002,232.62537479400635,4.026853602126007,3.5770173369277836,0.4302731563010453,0.00940377684066277,0.03887703569108591,3.529055610260102,0.018034419384346155,0.0006747640530226499,3.5770173369277836,,,,
3,0.0003,233.51900601387024,3.2067829181698606,2.807435487967511,0.3821544558863053,0.00826484945581992,0.03455334302164122,2.7649055947964105,0.015840860785238678,0.0005611850241173537,2.807435487967511,,,,
4,0.0004,233.90789079666138,2.8915375965740044,2.5244226927298525,0.35021293842531154,0.008023737227612453,0.030297808651446673,2.486844515262162,0.014450992245308773,0.0005487078974106202,2.5244226927298525,,,,
5,0.0005,233.70624327659607,2.7355616123888504,2.4257795403453066,0.2932783022098711,0.007849332180754306,0.032852396850184054,2.3857881067545,0.014170933811357294,0.000535688212791888,2.4257795403453066,0.7322834645669292,0.717868843401117,0.7693383897325292,0.5793967154146968
6,0.0006,232.0397412776947,2.624766517450048,2.3262843997729696,0.2822278074539847,0.007747628331106371,0.0345892565811287,2.2848105574543562,0.013663719166240883,0.0005272057951039133,2.3262843997729696,,,,
7,0.0007,234.78415846824646,2.533851392606166,2.287789296807419,0.22957405682131454,0.00780744330118854,0.034291927969535445,2.2464157171079315,0.0140549708048067,0.0005416184449227069,2.287789296807419,,,,
8,0.0008,234.0982542037964,2.4847787988435535,2.254000959323027,0.2152496044778787,0.007391965007884867,0.03409333310470336,2.212967815648043,0.013773046485428743,0.0005328477554844801,2.254000959323027,,,,
9,0.0009000000000000001,234.89753317832947,2.470160879077712,2.2487563760024716,0.2056756721326779,0.007508240057782061,0.03336200421415172,2.2087707925217313,0.01314569429010799,0.0005073441056635901,2.2487563760024716,,,,
10,0.001,234.29593873023987,2.4362800764943917,2.2118951926466215,0.2086003243558094,0.00756719831684458,0.031246727252627737,2.173872941461299,0.013448333185311183,0.0005136112716729773,2.2118951926466215,0.8858267716535433,0.8197253238984517,0.8022638988807211,0.6053711997642033
11,0.0009999706613915565,233.9160225391388,2.4412712411106567,2.255411512096515,0.17055907776257442,0.007275954056811563,0.03197516741673584,2.216915878949989,0.012938492491972969,0.0005122614139361482,2.255411512096515,,,,
12,0.000999882649009242,234.66774988174438,2.3317272038984047,2.1504719117510067,0.16620318508351645,0.007207815197701152,0.03087172162135775,2.1129885364655423,0.013118500121886213,0.0005240079722575525,2.1504719117510067,,,,
13,0.0009997359731816998,235.54504442214966,2.2290662250125597,2.0742808851506074,0.13985202423249937,0.007175184644609982,0.029701179736696125,2.038319500211958,0.012419380398445241,0.0005051064385595354,2.0742808851506074,,,,
14,0.0009995306511219884,233.8258993625641,2.2196093425934853,2.078792743969962,0.12594971997240992,0.007127702600049606,0.029695442918546654,2.0427711343109918,0.012548876904665508,0.0005172687922546479,2.078792743969962,,,,
15,0.0009992667069255619,233.4694173336029,2.280667802192154,2.1456964000649945,0.1204959126953898,0.006934607545637979,0.02903593773907904,2.110394594498486,0.012432043277597572,0.0004984305020373288,2.1456964000649945,0.9468503937007874,0.8561396888422647,0.7974058596638954,0.6196832309706487
16,0.0009989441715674422,232.4441146850586,2.1855726177896817,2.0677003685716557,0.10325105467184809,0.007009137915544875,0.02916073425446213,2.032281525530584,0.012414167707369063,0.0005102340024934822,2.0677003685716557,,,,
17,0.0009985630828985835,233.7346966266632,2.1993165645377797,2.0938157125020216,0.09087225675112195,0.007024344887294324,0.02820842618400631,2.059370497075831,0.012372298030236355,0.0005064033302819814,2.0938157125020216,,,,
18,0.0009981234856414306,232.76654529571533,2.1484494358886286,2.0452636477990924,0.0890698341153205,0.006775927315441726,0.02752321800619305,2.0116569180217088,0.012066885255275937,0.0005007142232055502,2.0452636477990924,,,,
19,0.000997625431384671,233.20985436439514,2.168732988740761,2.0655298298176046,0.0891253556718866,0.00676300992953947,0.027969704974437844,2.031504503348891,0.012010997291398356,0.0005011645315746937,2.0655298298176046,,,,
20,0.0009970689785771798,231.86508083343506,2.1056028959872837,2.009052255322562,0.08243032955675297,0.006801662664751996,0.027283090423653632,1.9757707831376665,0.011898220545540353,0.000492710706276401,2.009052255322562,0.9862204724409449,0.8899144307800702,0.8381112798007294,0.6213597381028576
21,0.0009964541925211613,230.90294432640076,2.083286640726771,1.9961768546731684,0.07325648985903428,0.006713991093324955,0.027935992087376505,1.9620985241889641,0.012182207760420574,0.000512354510037624,1.9961768546731684,,,,
22,0.0009957811453644848,232.03183007240295,2.0838629476999113,2.012780873992368,0.057829467674226524,0.006456332124132146,0.026445981462215468,1.9804474842095874,0.011676112548125108,0.0004934447151754284,2.012780873992368,,,,
23,0.0009950499160922184,232.78626012802124,2.032732346821674,1.9519533677348448,0.0673166336666484,0.0065854780381443025,0.02541063652396402,1.9205982487512196,0.011786085441318482,0.0005143895580311256,1.9519533677348448,,,,
24,0.0009942605905173593,232.98739910125732,1.99884455590582,1.9286559553553608,0.05735864945733419,0.006286680998575644,0.027247388371606528,1.8954564624353853,0.011803692125371554,0.0005026367643426132,1.9286559553553608,,,,
25,0.0009934132612707631,233.30304861068726,2.0374187236720043,1.9617357934917767,0.06250315000136376,0.006465177562792361,0.02636331577172152,1.9293381537539953,0.011966425939816592,0.0005111201069533675,1.9617357934917767,0.9980314960629921,0.9000029209426471,0.8492733433712518,0.6233257984985476
26,0.0009925080277902742,232.3876073360443,2.005077048707071,1.9392108737018097,0.05295502435845632,0.0063304417927844536,0.025437156153240617,1.907960902665454,0.011526238185131718,0.0004970097496170543,1.9392108737018097,,,,
27,0.000991544996309055,233.26945972442627,2.0332114341137295,1.9643908588566783,0.05643933914011636,0.006068874831178532,0.02662283274042176,1.932040534084614,0.011356102921774474,0.0004943430315016242,1.9643908588566783,,,,
28,0.0009905242798431196,232.54935669898987,2.0632943930933303,1.9995880652589635,0.051132628989103694,0.006172517851526551,0.025169759718774384,1.968619099657261,0.011498811484999583,0.0004979911751024464,1.9995880652589635,,,,
29,0.000989445998178071,233.4648027420044,2.018575154791016,1.9599771769863616,0.046351602823554765,0.0060047140166392616,0.02559322519325383,1.9284531328124994,0.011760612242399222,0.0005051024914001474,1.9599771769863616,,,,
30,0.0009883102778550433,231.99221420288086,1.9505872512284999,1.8934026124511714,0.04441947139193705,0.006262767240642789,0.024534525419829208,1.863036531155334,0.011562733386880329,0.0005019427249643888,1.8934026124511714,0.984251968503937,0.8978768724884306,0.8677204131559514,0.6299586145990137
31,0.0009871172521558522,232.47251558303833,1.9348799542996895,1.8869863395671804,0.03573704343567348,0.0059623387325262525,0.025747126218271917,1.8554259717893538,0.011526708554458824,0.000498860782914105,1.8869863395671804,,,,
32,0.0009858670610873527,233.23982310295105,2.012742395117801,1.9569440455960978,0.043643661588466505,0.0059609797975799335,0.025461297205232415,1.925844504171251,0.01117799132550379,0.0004925465401780429,1.9569440455960978,,,,
33,0.0009845598513650103,233.06209444999695,1.972487907915215,1.921376211832019,0.03892055909734989,0.005980985775054798,0.025538601107707646,1.8901102906824407,0.011355737089977906,0.0004944514851020701,1.921376211832019,,,,
34,0.0009831957763956813,233.43358898162842,1.9567526634099908,1.9080576748338514,0.03656362443588438,0.005949844530946941,0.025362142227609588,1.876984782185386,0.01131988959283329,0.0005080352835191099,1.9080576748338514,,,,
35,0.0009817749962596114,233.20278406143188,1.9853383649082084,1.9268674029729753,0.046682082261048634,0.0057768076243785976,0.026445346193099198,1.8947941461548756,0.01115625741171129,0.0004977786777651819,1.9268674029729753,0.9980314960629921,0.9039908913373947,0.8653597273420559,0.6219177707165912
36,0.0009802976776916493,233.32054662704468,1.977548026816227,1.935527433646131,0.029930440183976847,0.0059321379780901,0.024733875235737696,1.9052908666704962,0.010907285217151865,0.0004905372297751132,1.935527433646131,,,,
37,0.0009787639940616788,233.58662152290344,1.9360242433728971,1.8925345846456696,0.03191495965279173,0.00566713854028107,0.025396694284156744,1.861641679622272,0.010894041510569469,0.0004918822035539642,1.8925345846456696,,,,
38,0.000977174125354274,232.83072924613953,1.8854072900264676,1.8467918696827914,0.027002906857826556,0.005691586542753892,0.024634539895277734,1.816553143111511,0.011107661293701302,0.0005035913227545341,1.8467918696827914,,,,
39,0.0009755282581475768,233.13354015350342,1.9290305407454518,1.8890286374310548,0.02805467482372509,0.005854626675319239,0.025826551018621656,1.857523537041005,0.01125674598871033,0.0005017157903606077,1.8890286374310548,,,,
40,0.0009738265855914012,233.24255537986755,1.907761366706322,1.8727520892191776,0.023189004033296302,0.005790302929613515,0.025622317968369144,1.8415492936305662,0.01106232721102546,0.0004931643794045243,1.8727520892191776,0.9921259842519685,0.9062056162187031,0.8796899377258584,0.6339196989285774
41,0.0009720693073845667,233.19631934165955,1.9603575893643639,1.9172604445670365,0.03130723686681536,0.005781762166459513,0.024485999563189604,1.887248207049454,0.010953693300121737,0.0004939208576225319,1.9172604445670365,,,,
42,0.000970256629751462,233.67355346679688,1.8993577651718525,1.8563784705523734,0.0312044203494008,0.005770342255374466,0.025206780309498758,1.8255286049292818,0.011184980747526444,0.0005059613778739826,1.8563784705523734,,,,
43,0.0009683887654178445,233.8102264404297,1.8476673200609484,1.814283598204636,0.021860051300093032,0.00565111765461847,0.024025371565918698,1.7846719440443353,0.011071348688546909,0.0005060737519061006,1.814283598204636,,,,
44,0.0009664659335858754,233.7218039035797,1.9118218506583993,1.87807222147087,0.022179663690584894,0.005674601474615955,0.024033596549312346,1.848470761981934,0.011035853352931606,0.0004993102434341928,1.87807222147087,,,,
45,0.0009644883599083958,233.20542860031128,1.887232696198668,1.8514834132864681,0.024050805112135754,0.005737220441815273,0.021645224788189615,1.8243672350977416,0.010843650426920405,0.0004912692855604582,1.8514834132864681,0.9980314960629921,0.902729188323021,0.8652225087303261,0.6141455455318742
46,0.0009624562764624445,232.38000297546387,1.8995928641662236,1.8616639049528703,0.026624897776257334,0.0055389981942387855,0.02419994023542593,1.8319649301586352,0.010897779974084426,0.0005014437127920722,1.8616639049528703,,,,
47,0.0009603699217220239,233.38989806175232,1.8695797758537749,1.830867537380201,0.02723578766882363,0.005613592968941593,0.022310661451337616,1.8030213641578146,0.010970806462835152,0.0005011016231387789,1.830867537380201,,,,
48,0.000958229540530113,233.68708419799805,1.9224915625966343,1.890411280349131,0.020683232555788033,0.00558098511683818,0.022668267535935618,1.8621419905562988,0.0111020830176778,0.0004998227941065525,1.890411280349131,,,,
49,0.000956035384069935,233.1789095401764,1.8419731761382512,1.8108308823554928,0.019740537161741425,0.005587050592964418,0.0235258190533334,1.781613495688476,0.011281060938374748,0.0005103984837246119,1.8108308823554928,,,,
50,0.0009537877098354786,232.81650972366333,1.8519297240019157,1.8204312396445435,0.01995829523735059,0.005660940947240287,0.025206479005846535,1.7897573289368789,0.010836848863266428,0.0004900968570832233,1.8204312396445435,0.9921259842519685,0.9046984405687877,0.874830319371286,0.6324274808816288
51,0.0009514867816012809,232.21704602241516,1.9624562955690616,1.9207685054011683,0.030518981708026763,0.00546830265527696,0.020679349788886383,1.8945397412238634,0.010999409552280796,0.0004970914377788715,1.9207685054011683,,,,
52,0.0009491328693914722,233.20284342765808,1.8541809102588611,1.8307218016247162,0.01245632295738185,0.005385071205289751,0.013496632788010936,1.8115173664275577,0.011315030052207157,0.0005028942269122249,1.8307218016247162,,,,
53,0.0009467262494480868,231.95876955986023,1.7744359349800245,1.731807883926399,0.03140129700900652,0.005503565453801118,0.008343867556233427,1.7181747540519499,0.010484431209274279,0.00047046349949243966,1.731807883926399,,,,
54,0.0009442672041986457,231.2115020751953,0.9231392705096273,0.8851030471476273,0.026466340166960384,0.005674731972077569,0.0004639949903126162,0.8816515614537044,0.005923064865345009,0.0002595773442727282,0.8851030471476273,,,,
55,0.0009417560222230115,231.9414041042328,1.407531426581359,1.3762625047829762,0.02002917584448125,0.00550786854899781,0.0014962392636082326,1.3703077201248777,0.00883913674655112,0.0003897858519344505,1.3762625047829762,0.9940944881889764,0.9041741773400988,0.878651870129931,0.615515412411828
56,0.0009391929982195233,230.1109549999237,1.1587140051902793,1.129676176576402,0.01808660460095414,0.005365351560898613,0.0006348393852603061,1.125259256409725,0.007501473598147459,0.0003134275089400968,1.129676176576402,,,,
57,0.0009365784329704115,231.68084335327148,0.6297232141932814,0.5937526380126389,0.02479082509045445,0.0054809340497988385,0.0004282649070102507,0.5911593583085775,0.0042937924998266265,0.0001811838209843452,0.5937526380126389,,,,
58,0.0009339126333065006,230.15976786613464,0.3176581594061121,0.2808744411974053,0.025840216299814846,0.005365058913197934,0.0,0.2797036617214143,0.002322762854414363,9.396586984902479e-05,0.2808744411974053,,,,
59,0.000931195912071201,229.4986057281494,0.19429450814675597,0.16462105266866883,0.018654682957852393,0.0054041449716851035,0.0,0.16380761548174613,0.0016136064842655396,6.632870001473381e-05,0.16462105266866883,,,,
60,0.0009284285880837946,229.34566688537598,0.04106894300498449,0.007823904615422194,0.02238691777890262,0.005325838084014484,0.0,0.007777507626573453,9.210316308271822e-05,3.452887054635163e-06,0.007823904615422194,0.9940944881889764,0.9006069059457098,0.8651092890243343,0.6153696776516195
61,0.0009256109861020212,227.66657304763794,0.0317828824246273,0.0028883089452825914,0.01789776462322625,0.005396655193409341,0.0,0.0028483004587170966,7.928771707985101e-05,3.6452564408427288e-06,0.0028883089452825914,,,,
62,0.0009227434367839659,229.5750377178192,0.027431122481418258,0.0023092574474075076,0.014491351517429273,0.005213907832055504,0.0,0.002299408013908027,1.952060771355142e-05,8.915668183996182e-07,0.0023092574474075076,,,,
63,0.0009198262766492554,229.50458455085754,0.028634755183450135,0.00487988820562812,0.012846391258800988,0.005352962594808454,0.0,0.004845131364168297,6.892268316751999e-05,2.953785237568523e-06,0.00487988820562812,,,,
64,0.0009168598480395651,229.07185101509094,0.023515964415733805,0.00029310098415269903,0.012495665005780747,0.005263459515978499,0.0,0.0002793307703827064,2.7335724300895063e-05,1.0234887677571537e-06,0.00029310098415269903,,,,
65,0.0009138444990784454,229.99978470802307,0.03801502149213223,0.007524399545180236,0.019983790135061668,0.005153965623226475,0.0,0.007494871216918785,5.8761810035449675e-05,1.4727628842869004e-06,0.007524399545180236,0.031496062992125984,0.22978542621121076,0.7166644530680933,0.1517832476972177
66,0.0009107805836304658,228.7584319114685,0.1157070819050176,0.08891990874450244,0.01648723244635099,0.005062188801089916,0.0,0.08844259474914111,0.0009477936927258422,3.4166465887720015e-05,0.08891990874450244,,,,
67,0.000907668461259689,229.2823498249054,0.06993866628535697,0.041620998794495746,0.01773167409990263,0.005192685013905738,0.0,0.041414315943942646,0.0004110267734476877,1.1691954721335848e-05,0.041620998794495746,,,,
68,0.0009045084971874737,229.5971601009369,0.05899411067884679,0.03073561612848212,0.017862568996922776,0.005096699758152434,0.0,0.03060534487220005,0.00025934670656841465,5.979533162497042e-06,0.03073561612848212,,,,
69,0.0009013010622496144,230.2086958885193,0.040497118188433975,0.01104413339604882,0.018822361411708306,0.005215303635155217,0.0,0.011007198176458868,7.33364305181029e-05,2.670480361688609e-06,0.01104413339604882,,,,
70,0.0008980465328528219,231.10255479812622,0.03238624533064205,0.007710351993900319,0.014415138742264452,0.005037581464897412,0.0,0.007673963514298045,7.224353322886047e-05,2.662612003986163e-06,0.007710351993900319,0.001968503937007874,0.1758070492946343,0.6305655174396574,0.061099019124083206
71,0.0008947452909305509,229.64462685585022,0.03415759838508023,0.00783349144521184,0.016068814654534528,0.005073059404040906,0.0,0.007684274493711781,0.00029588153302981593,1.2764473158027489e-05,0.00783349144521184,,,,
